Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry
30039,,3,1,1,3,30-10-17
30015,1,3,1,1,3.2,31-10-17
30063,138,3,1,1,3.56,01-11-17
30053,21,3,1,1,3.73,02-11-17
30055,32,3,1,1,3.73,03-11-17
30052,19,3,1,1,3.73,04-11-17
30054,16,3,1,1,3.73,05-11-17
30062,7,3,1,1,3.88,06-11-17
30006,1,3,1,1,4.12,07-11-17
30009,,3,1,1,4.6,08-11-17
30034,8,3,1,1,4.6,09-11-17
30033,4,3,1,1,4.6,10-11-17
30038,4,3,1,1,4.6,11-11-17
30007,,3,1,1,4.68,12-11-17
30064,,3,1,1,4.68,13-11-17
30013,2,3,1,1,4.76,14-11-17
30010,,3,1,1,4.78,15-11-17
30043,,3,1,1,4.88,16-11-17
30017,2,3,1,1,4.88,17-11-17
30040,,3,1,1,4.88,18-11-17
30047,8,3,1,1,4.9,19-11-17
30044,,3,1,1,4.9,20-11-17
30032,3,3,1,1,4.96,21-11-17
30082,12,3,1,1,5,22-11-17
30046,2,3,1,1,5.04,23-11-17
30081,5,3,1,1,5.1,24-11-17
30003,,3,1,1,5.2,25-11-17
30041,,3,1,1,5.2,26-11-17
30005,,3,1,1,5.2,27-11-17
30045,3,3,1,1,5.27,28-11-17
30014,3,3,1,1,5.27,29-11-17
30057,3,3,1,1,5.3,30-11-17
30020,,3,1,1,5.45,01-12-17
30042,,3,1,1,5.45,02-12-17
30021,9,3,1,1,5.45,03-12-17
30084,9,3,1,1,5.5,04-12-17
30083,9,3,1,1,5.8,05-12-17
30051,,3,1,1,5.8,06-12-17
30035,,3,1,1,5.9,07-12-17
30019,5,3,1,1,5.9,08-12-17
30023,1,3,1,1,5.9,09-12-17
30076,8,3,1,1,6,10-12-17
30058,21,3,1,1,6.05,11-12-17
30018,2,3,1,1,6.11,12-12-17
30036,3,3,1,1,6.14,13-12-17
30001,1,3,1,1,6.15,14-12-17
30066,,3,1,1,6.23,15-12-17
30059,8,3,1,1,6.23,16-12-17
30065,,3,1,1,6.23,17-12-17
30004,1,3,1,1,6.3,18-12-17
30008,,3,1,1,6.3,19-12-17
30069,8,3,1,1,6.36,20-12-17
30061,2,3,1,1,6.41,21-12-17
30029,1,3,1,1,6.43,22-12-17
30060,16,3,1,1,6.76,23-12-17
30031,2,3,1,1,6.88,24-12-17
30048,,3,1,1,7,25-12-17
30012,1,3,1,1,7,26-12-17
30022,,3,1,1,7,27-12-17
30050,,3,1,1,7,28-12-17
30049,3,3,1,1,7,29-12-17
30028,5,3,1,1,7,30-12-17
30056,,3,1,1,7,31-12-17
30002,,3,1,1,7.2,01-01-18
30037,3,3,1,1,7.2,02-01-18
30030,3,3,1,1,7.21,03-01-18
30079,10,3,1,1,7.5,04-01-18
30068,5,3,1,1,7.5,05-01-18
30078,10,3,1,1,7.5,06-01-18
30067,11,3,1,1,7.5,07-01-18
30025,7,3,1,1,7.72,08-01-18
30027,37,3,1,1,7.72,09-01-18
30024,2,3,1,1,7.72,10-01-18
30026,3,3,1,1,7.72,11-01-18
30011,3,3,1,1,7.8,12-01-18
30016,4,3,1,1,7.9,13-01-18
30073,11,3,1,1,8,14-01-18
30080,6,3,1,1,8,15-01-18
30077,6,3,1,1,8.5,16-01-18
30074,7,3,1,1,8.8,17-01-18
30075,10,3,1,1,8.8,18-01-18
20001,2,3,1,1,5.2,19-01-18
20002,,3,1,1,5,20-01-18
20003,5,3,1,1,5.8,21-01-18
20004,1,3,1,1,4.9,22-01-18
20005,,3,1,1,5.6,23-01-18
20006,,3,1,1,5,24-01-18
20007,3,3,1,1,5.8,25-01-18
20008,,3,1,1,7.3,26-01-18
20009,3,3,1,1,7.3,27-01-18
20010,,3,1,1,5.8,28-01-18
20011,6,3,1,1,5.1,29-01-18
20012,,3,1,1,5,30-01-18
20013,5,3,1,1,9.3,31-01-18
20014,,3,1,1,7.3,01-02-18
20015,2,3,1,1,4.4,02-02-18
20016,3,3,1,1,4.76,03-02-18
20017,7,3,1,1,7.7,04-02-18
20018,1,3,1,1,5.2,05-02-18
20019,1,3,1,1,5.2,06-02-18
20020,1,3,1,1,5.2,07-02-18
20021,4,3,1,1,5.6,08-02-18
20022,,3,1,1,7.8,09-02-18
20023,,3,1,1,5.8,10-02-18
20024,1,3,1,1,5.8,11-02-18
20025,,3,1,1,5.8,12-02-18
20026,2,3,1,1,5,13-02-18
20027,1,3,1,1,5,14-02-18
20028,,3,1,1,5.5,15-02-18
20029,,3,1,1,5.7,16-02-18
20030,,3,1,1,8.5,17-02-18
20031,5,3,1,1,7.3,18-02-18
20032,2,3,1,1,5.8,19-02-18
20033,1,3,1,1,7,20-02-18
20034,4,3,1,1,5.4,21-02-18
20035,1,3,1,1,4.76,22-02-18
20036,4,3,1,1,5.27,23-02-18
20037,1,3,1,1,5.8,24-02-18
20038,2,3,1,1,5.6,25-02-18
20039,6,3,1,1,4.9,26-02-18
20040,2,3,1,1,4.4,27-02-18
20041,2,3,1,1,5,28-02-18
20042,,3,1,1,5.1,01-03-18
20043,4,3,1,1,5.3,02-03-18
20044,1,3,1,1,5.1,03-03-18
20045,,3,1,1,5,04-03-18
20046,1,3,1,1,4.8,05-03-18
20047,,3,1,1,5.1,06-03-18
20048,2,3,1,1,5.45,07-03-18
20049,3,3,1,1,4.6,08-03-18
20050,,3,1,1,5.9,09-03-18
20051,1,3,1,1,5.9,10-03-18
20052,2,3,1,1,5.4,11-03-18
20053,2,3,1,1,5.4,12-03-18
20054,,3,1,1,5.3,13-03-18
20055,9,3,1,1,4.8,14-03-18
20056,2,3,1,1,4.9,15-03-18
20057,,3,1,1,4.3,16-03-18
20058,,3,1,1,4.2,17-03-18
20059,2,3,1,1,6.2,18-03-18
20060,,3,1,1,6.3,19-03-18
20061,1,3,1,1,5.7,20-03-18
20062,,3,1,1,5.7,21-03-18
20063,1,3,1,1,5.7,22-03-18
20064,1,3,1,1,4.9,23-03-18
20065,,3,1,1,4.9,24-03-18
20066,1,3,1,1,5.6,25-03-18
20067,,3,1,1,9.3,26-03-18
20068,,3,1,1,9.3,27-03-18
20069,,3,1,1,6.77,28-03-18
20070,1,3,1,1,5.8,29-03-18
20071,,3,1,1,6.24,30-03-18
20072,1,3,1,1,6.1,31-03-18
20073,,3,1,1,5.1,01-04-18
20074,,3,1,1,3,02-04-18
20075,1,3,1,1,5.45,03-04-18
20076,,3,1,1,4.96,04-04-18
20077,,3,1,1,5.61,05-04-18
20078,2,3,1,1,6.4,06-04-18
20079,2,3,1,1,5.6,07-04-18
20080,2,3,1,1,5.22,08-04-18
20081,5,3,1,1,5.61,09-04-18
20082,5,3,1,1,5.9,10-04-18
20083,,3,1,1,3.2,11-04-18
20084,3,3,1,1,6.68,12-04-18
20085,3,3,1,1,6.68,13-04-18
20086,,3,1,1,0,14-04-18
20087,32,3,1,1,5.5,15-04-18
20088,1,3,1,1,2.48,16-04-18
20089,,3,1,1,2.48,17-04-18
20090,2,3,1,1,2.48,18-04-18
20091,,3,1,1,2.48,19-04-18
20092,1,3,1,1,2.48,20-04-18
20093,19,3,1,1,3.2,21-04-18
20094,20,3,1,1,3.38,22-04-18
20095,2,3,1,1,4.66,23-04-18
20096,17,3,1,1,4.2,24-04-18
20097,5,3,1,1,4.2,25-04-18
20098,4,3,1,1,4.2,26-04-18
20099,4,3,1,1,6.05,27-04-18
20100,6,3,1,1,5.57,28-04-18
20101,2,3,1,1,5.25,29-04-18
20102,2,3,1,1,5.25,30-04-18
20103,2,3,1,1,5.25,01-05-18
20104,3,3,1,1,7.32,02-05-18
20105,321,3,1,1,2.75,03-05-18
20106,3,3,1,1,5.26,04-05-18
20107,8,3,1,1,4.95,05-05-18
20108,,3,1,1,4.95,06-05-18
20109,5,3,1,1,5.6,07-05-18
20110,5,3,1,1,5.6,08-05-18
20111,4,3,1,1,5.6,09-05-18
20112,6,3,1,1,5.6,10-05-18
20113,6,3,1,1,5.6,11-05-18
20114,1,3,1,1,5.3,12-05-18
20115,2,3,1,1,5.3,13-05-18
20116,3,3,1,1,5.3,14-05-18
20117,2,3,1,1,5.3,15-05-18
20118,12,3,1,1,5,16-05-18
20119,12,3,1,1,5.6,17-05-18
20120,12,3,1,1,5.6,18-05-18
20121,12,3,1,1,5.6,19-05-18
20122,9,3,1,1,5.1,20-05-18
20123,8,3,1,1,5.5,21-05-18
20124,10,3,1,1,5.8,22-05-18
20125,1,3,1,1,5.3,23-05-18
20126,8,3,1,1,5.6,24-05-18
20127,5,3,1,1,6.1,25-05-18
20128,4,3,1,1,6.1,26-05-18
20129,2,3,1,1,6.1,27-05-18
20130,7,3,1,1,5.5,28-05-18
20131,3,3,1,1,5.1,29-05-18
